ac_no,ac_name,district,state,region,reserved_for,candidate_name,party,alliance,is_incumbent,education,profession,age,gender,assets,liabilities,criminal_cases,literacy,community,eci_approved,party_approved,nomination_status,nomination_date,affidavit_url,eci_candidate_id,contact,website,x_handle,source,predicted_winner
33,Constituency #33,Chennai,Tamil Nadu,CHENNAI,GEN,NTK Nominee,NTK,NTK,False,12th Pass,,,,Γé╣12.8 Cr,,0,85.18389871678518,,False,False,,,,,,,,curated,NDA
34,Constituency #34,Virudhunagar,Tamil Nadu,SOUTH,GEN,SPA Nominee,INC,SPA,True,12th Pass,,,,Γé╣31.8 Cr,,2,91.60437094541798,,False,False,,,,,,,,curated,SPA
34,Constituency #34,Virudhunagar,Tamil Nadu,SOUTH,GEN,NDA Nominee,BJP,NDA,False,12th Pass,,,,Γé╣41.9 Cr,,0,87.09293240358839,,False,False,,,,,,,,curated,SPA
34,Constituency #34,Virudhunagar,Tamil Nadu,SOUTH,GEN,TVK Nominee,TVK,TVK,False,12th Pass,,,,Γé╣27.2 Cr,,0,86.03434994493679,,False,False,,,,,,,,curated,SPA
34,Constituency #34,Virudhunagar,Tamil Nadu,SOUTH,GEN,NTK Nominee,NTK,NTK,False,12th Pass,,,,Γé╣11.9 Cr,,1,94.9274190772282,,False,False,,,,,,,,curated,SPA
35,Constituency #35,Tenkasi,Tamil Nadu,SOUTH,SC,SPA Nominee,VCK,SPA,True,12th Pass,,,,Γé╣8.8 Cr,,1,94.41666514100345,,False,False,,,,,,,,curated,SPA
35,Constituency #35,Tenkasi,Tamil Nadu,SOUTH,SC,NDA Nominee,PMK,NDA,False,12th Pass,,,,Γé╣41.5 Cr,,2,89.31233181073488,,False,False,,,,,,,,curated,SPA
35,Constituency #35,Tenkasi,Tamil Nadu,SOUTH,SC,TVK Nominee,TVK,TVK,False,12th Pass,,,,Γé╣34.5 Cr,,0,91.90115586978594,,False,False,,,,,,,,curated,SPA
35,Constituency #35,Tenkasi,Tamil Nadu,SOUTH,SC,NTK Nominee,NTK,NTK,False,12th Pass,,,,Γé╣45.0 Cr,,0,87.83677931905952,,False,False,,,,,,,,curated,SPA
36,Constituency #36,Theni,Tamil Nadu,SOUTH,GEN,SPA Nominee,VCK,SPA,False,12th Pass,,,,Γé╣16.2 Cr,,1,87.54587831171848,,False,False,,,,,,,,curated,NDA
36,Constituency #36,Theni,Tamil Nadu,SOUTH,GEN,NDA Nominee,AIADMK,NDA,True,Doctorate,,,,Γé╣27.8 Cr,,1,92.53894503664853,,False,False,,,,,,,,curated,NDA
36,Constituency #36,Theni,Tamil Nadu,SOUTH,GEN,TVK Nominee,TVK,TVK,False,12th Pass,,,,Γé╣36.7 Cr,,1,89.41163982955113,,False,False,,,,,,,,curated,NDA
36,Constituency #36,Theni,Tamil Nadu,SOUTH,GEN,NTK Nominee,NTK,NTK,False,12th Pass,,,,Γé╣11.6 Cr,,0,92.93030732304888,,False,False,,,,,,,,curated,NDA
37,Constituency #37,Ramanathapuram,Tamil Nadu,SOUTH,GEN,SPA Nominee,DMK,SPA,True,12th Pass,,,,Γé╣21.8 Cr,,0,90.77854866507353,,False,False,,,,,,,,curated,SPA
37,Constituency #37,Ramanathapuram,Tamil Nadu,SOUTH,GEN,NDA Nominee,AIADMK,NDA,False,Doctorate,,,,Γé╣43.4 Cr,,0,86.42304983127742,,False,False,,,,,,,,curated,SPA
37,Constituency #37,Ramanathapuram,Tamil Nadu,SOUTH,GEN,TVK Nominee,TVK,TVK,False,12th Pass,,,,Γé╣50.6 Cr,,1,88.29170366374912,,False,False,,,,,,,,curated,SPA
37,Constituency #37,Ramanathapuram,Tamil Nadu,SOUTH,GEN,NTK Nominee,NTK,NTK,False,12th Pass,,,,Γé╣12.5 Cr,,0,90.01919477066497,,False,False,,,,,,,,curated,SPA
38,Constituency #38,Pudukkottai,Tamil Nadu,CENTRAL,SC,SPA Nominee,DMK,SPA,True,12th Pass,,,,Γé╣22.8 Cr,,1,94.17950865552945,,False,False,,,,,,,,curated,NDA
38,Constituency #38,Pudukkottai,Tamil Nadu,CENTRAL,SC,NDA Nominee,BJP,NDA,False,12th Pass,,,,Γé╣25.2 Cr,,0,92.65272580772069,,False,False,,,,,,,,curated,NDA
38,Constituency #38,Pudukkottai,Tamil Nadu,CENTRAL,SC,TVK Nominee,TVK,TVK,False,12th Pass,,,,Γé╣39.3 Cr,,2,86.85316694367282,,False,False,,,,,,,,curated,NDA
38,Constituency #38,Pudukkottai,Tamil Nadu,CENTRAL,SC,NTK Nominee,NTK,NTK,False,12th Pass,,,,Γé╣47.6 Cr,,0,93.2531347677917,,False,False,,,,,,,,curated,NDA
39,Constituency #39,Nagapattinam,Tamil Nadu,CENTRAL,GEN,SPA Nominee,DMK,SPA,False,12th Pass,,,,Γé╣34.2 Cr,,0,85.11804286576441,,False,False,,,,,,,,curated,NDA
39,Constituency #39,Nagapattinam,Tamil Nadu,CENTRAL,GEN,NDA Nominee,PMK,NDA,True,12th Pass,,,,Γé╣8.3 Cr,,2,90.17575309171815,,False,False,,,,,,,,curated,NDA
39,Constituency #39,Nagapattinam,Tamil Nadu,CENTRAL,GEN,TVK Nominee,TVK,TVK,False,12th Pass,,,,Γé╣41.2 Cr,,2,90.81323334073662,,False,False,,,,,,,,curated,NDA
39,Constituency #39,Nagapattinam,Tamil Nadu,CENTRAL,GEN,NTK Nominee,NTK,NTK,False,12th Pass,,,,Γé╣48.3 Cr,,1,94.31647014772254,,False,False,,,,,,,,curated,NDA
40,Constituency #40,Ariyalur,Tamil Nadu,CENTRAL,GEN,SPA Nominee,DMK,SPA,True,12th Pass,,,,Γé╣2.4 Cr,,2,93.24949156836364,,False,False,,,,,,,,curated,SPA
40,Constituency #40,Ariyalur,Tamil Nadu,CENTRAL,GEN,NDA Nominee,AIADMK,NDA,False,Doctorate,,,,Γé╣50.0 Cr,,2,94.92249116222334,,False,False,,,,,,,,curated,SPA
40,Constituency #40,Ariyalur,Tamil Nadu,CENTRAL,GEN,TVK Nominee,TVK,TVK,False,12th Pass,,,,Γé╣18.0 Cr,,2,94.36445521196143,,False,False,,,,,,,,curated,SPA
40,Constituency #40,Ariyalur,Tamil Nadu,CENTRAL,GEN,NTK Nominee,NTK,NTK,False,12th Pass,,,,Γé╣50.4 Cr,,0,86.26348957505856,,False,False,,,,,,,,curated,SPA
41,Constituency #41,Tiruchirappalli,Tamil Nadu,CENTRAL,SC,SPA Nominee,DMK,SPA,True,12th Pass,,,,Γé╣31.4 Cr,,1,87.53339931306701,,False,False,,,,,,,,curated,NDA
41,Constituency #41,Tiruchirappalli,Tamil Nadu,CENTRAL,SC,NDA Nominee,AIADMK,NDA,False,Doctorate,,,,Γé╣15.3 Cr,,1,91.27332975976027,,False,False,,,,,,,,curated,NDA
41,Constituency #41,Tiruchirappalli,Tamil Nadu,CENTRAL,SC,TVK Nominee,TVK,TVK,False,12th Pass,,,,Γé╣45.8 Cr,,0,92.78408021058556,,False,False,,,,,,,,curated,NDA
41,Constituency #41,Tiruchirappalli,Tamil Nadu,CENTRAL,SC,NTK Nominee,NTK,NTK,False,12th Pass,,,,Γé╣11.7 Cr,,1,94.76168583439231,,False,False,,,,,,,,curated,NDA
42,Constituency #42,Thiruvarur,Tamil Nadu,CENTRAL,GEN,SPA Nominee,DMK,SPA,True,12th Pass,,,,Γé╣34.4 Cr,,0,85.5554207618801,,False,False,,,,,,,,curated,NDA
42,Constituency #42,Thiruvarur,Tamil Nadu,CENTRAL,GEN,NDA Nominee,BJP,NDA,False,12th Pass,,,,Γé╣38.9 Cr,,1,88.76942867429344,,False,False,,,,,,,,curated,NDA
42,Constituency #42,Thiruvarur,Tamil Nadu,CENTRAL,GEN,TVK Nominee,TVK,TVK,False,12th Pass,,,,Γé╣20.1 Cr,,1,92.72890586501157,,False,False,,,,,,,,curated,NDA
42,Constituency #42,Thiruvarur,Tamil Nadu,CENTRAL,GEN,NTK Nominee,NTK,NTK,False,12th Pass,,,,Γé╣20.2 Cr,,2,92.9650796266065,,False,False,,,,,,,,curated,NDA
43,Constituency #43,Krishnagiri,Tamil Nadu,WEST,GEN,SPA Nominee,DMK,SPA,True,12th Pass,,,,Γé╣1.9 Cr,,1,93.99693535528885,,False,False,,,,,,,,curated,SPA
43,Constituency #43,Krishnagiri,Tamil Nadu,WEST,GEN,NDA Nominee,PMK,NDA,False,12th Pass,,,,Γé╣20.3 Cr,,0,87.66761559597391,,False,False,,,,,,,,curated,SPA
43,Constituency #43,Krishnagiri,Tamil Nadu,WEST,GEN,TVK Nominee,TVK,TVK,False,12th Pass,,,,Γé╣1.0 Cr,,2,90.41666078502497,,False,False,,,,,,,,curated,SPA
43,Constituency #43,Krishnagiri,Tamil Nadu,WEST,GEN,NTK Nominee,NTK,NTK,False,12th Pass,,,,Γé╣6.6 Cr,,1,94.11954937376233,,False,False,,,,,,,,curated,SPA
44,Constituency #44,Coimbatore,Tamil Nadu,WEST,SC,SPA Nominee,DMK,SPA,False,12th Pass,,,,Γé╣1.4 Cr,,0,85.28258457996847,,False,False,,,,,,,,curated,NDA
44,Constituency #44,Coimbatore,Tamil Nadu,WEST,SC,NDA Nominee,AIADMK,NDA,True,Doctorate,,,,Γé╣32.3 Cr,,1,93.66579156840139,,False,False,,,,,,,,curated,NDA
44,Constituency #44,Coimbatore,Tamil Nadu,WEST,SC,TVK Nominee,TVK,TVK,False,12th Pass,,,,Γé╣12.5 Cr,,2,87.38901733053491,,False,False,,,,,,,,curated,NDA
44,Constituency #44,Coimbatore,Tamil Nadu,WEST,SC,NTK Nominee,NTK,NTK,False,12th Pass,,,,Γé╣13.0 Cr,,0,88.33701530956695,,False,False,,,,,,,,curated,NDA
45,Constituency #45,Tirupur,Tamil Nadu,WEST,GEN,SPA Nominee,INC,SPA,True,12th Pass,,,,Γé╣10.2 Cr,,2,85.48766438011371,,False,False,,,,,,,,curated,NDA
45,Constituency #45,Tirupur,Tamil Nadu,WEST,GEN,NDA Nominee,AIADMK,NDA,False,Doctorate,,,,Γé╣20.7 Cr,,1,86.01595047704545,,False,False,,,,,,,,curated,NDA
45,Constituency #45,Tirupur,Tamil Nadu,WEST,GEN,TVK Nominee,TVK,TVK,False,12th Pass,,,,Γé╣35.7 Cr,,1,91.8453974612624,,False,False,,,,,,,,curated,NDA
45,Constituency #45,Tirupur,Tamil Nadu,WEST,GEN,NTK Nominee,NTK,NTK,False,12th Pass,,,,Γé╣10.5 Cr,,2,92.1206857912341,,False,False,,,,,,,,curated,NDA
46,Constituency #46,Villupuram,Tamil Nadu,NORTH,GEN,SPA Nominee,INC,SPA,True,12th Pass,,,,Γé╣45.6 Cr,,0,91.3401226555455,,False,False,,,,,,,,curated,SPA
46,Constituency #46,Villupuram,Tamil Nadu,NORTH,GEN,NDA Nominee,BJP,NDA,False,12th Pass,,,,Γé╣41.7 Cr,,2,89.97585708700062,,False,False,,,,,,,,curated,SPA
46,Constituency #46,Villupuram,Tamil Nadu,NORTH,GEN,TVK Nominee,TVK,TVK,False,12th Pass,,,,Γé╣7.0 Cr,,0,90.32583442690364,,False,False,,,,,,,,curated,SPA
46,Constituency #46,Villupuram,Tamil Nadu,NORTH,GEN,NTK Nominee,NTK,NTK,False,12th Pass,,,,Γé╣25.0 Cr,,1,86.55026052951199,,False,False,,,,,,,,curated,SPA
47,Constituency #47,Kancheepuram,Tamil Nadu,NORTH,SC,SPA Nominee,INC,SPA,False,12th Pass,,,,Γé╣2.8 Cr,,2,88.73873063930517,,False,False,,,,,,,,curated,NDA
47,Constituency #47,Kancheepuram,Tamil Nadu,NORTH,SC,NDA Nominee,PMK,NDA,True,12th Pass,,,,Γé╣9.1 Cr,,1,92.00653463194034,,False,False,,,,,,,,curated,NDA
47,Constituency #47,Kancheepuram,Tamil Nadu,NORTH,SC,TVK Nominee,TVK,TVK,False,12th Pass,,,,Γé╣12.5 Cr,,0,91.58459409345518,,False,False,,,,,,,,curated,NDA
47,Constituency #47,Kancheepuram,Tamil Nadu,NORTH,SC,NTK Nominee,NTK,NTK,False,12th Pass,,,,Γé╣27.8 Cr,,2,94.24828863753667,,False,False,,,,,,,,curated,NDA
48,Constituency #48,Vellore,Tamil Nadu,NORTH,GEN,SPA Nominee,VCK,SPA,True,12th Pass,,,,Γé╣15.6 Cr,,0,86.3383163732356,,False,False,,,,,,,,curated,NDA
48,Constituency #48,Vellore,Tamil Nadu,NORTH,GEN,NDA Nominee,AIADMK,NDA,False,Doctorate,,,,Γé╣49.2 Cr,,2,92.5681137398879,,False,False,,,,,,,,curated,NDA
48,Constituency #48,Vellore,Tamil Nadu,NORTH,GEN,TVK Nominee,TVK,TVK,False,12th Pass,,,,Γé╣11.6 Cr,,2,89.0228909464753,,False,False,,,,,,,,curated,NDA
48,Constituency #48,Vellore,Tamil Nadu,NORTH,GEN,NTK Nominee,NTK,NTK,False,12th Pass,,,,Γé╣3.4 Cr,,2,90.6345394425902,,False,False,,,,,,,,curated,NDA
49,Constituency #49,Kanyakumari,Tamil Nadu,SOUTH,GEN,SPA Nominee,VCK,SPA,True,12th Pass,,,,Γé╣18.0 Cr,,0,93.05558039853541,,False,False,,,,,,,,curated,SPA
49,Constituency #49,Kanyakumari,Tamil Nadu,SOUTH,GEN,NDA Nominee,AIADMK,NDA,False,Doctorate,,,,Γé╣3.9 Cr,,1,87.68549943103561,,False,False,,,,,,,,curated,SPA
49,Constituency #49,Kanyakumari,Tamil Nadu,SOUTH,GEN,TVK Nominee,TVK,TVK,False,12th Pass,,,,Γé╣39.6 Cr,,1,87.62387372815014,,False,False,,,,,,,,curated,SPA
49,Constituency #49,Kanyakumari,Tamil Nadu,SOUTH,GEN,NTK Nominee,NTK,NTK,False,12th Pass,,,,Γé╣32.6 Cr,,2,94.14491052756958,,False,False,,,,,,,,curated,SPA
50,Constituency #50,Tiruvallur,Tamil Nadu,NORTH,GEN,SPA Nominee,DMK,SPA,False,12th Pass,,,,Γé╣11.1 Cr,,0,90.74639511151598,,False,False,,,,,,,,curated,NDA
50,Constituency #50,Tiruvallur,Tamil Nadu,NORTH,GEN,NDA Nominee,BJP,NDA,True,12th Pass,,,,Γé╣40.5 Cr,,2,89.87302933267294,,False,False,,,,,,,,curated,NDA
50,Constituency #50,Tiruvallur,Tamil Nadu,NORTH,GEN,TVK Nominee,TVK,TVK,False,12th Pass,,,,Γé╣21.3 Cr,,1,94.22936319420059,,False,False,,,,,,,,curated,NDA
50,Constituency #50,Tiruvallur,Tamil Nadu,NORTH,GEN,NTK Nominee,NTK,NTK,False,12th Pass,,,,Γé╣30.6 Cr,,1,90.51264848927119,,False,False,,,,,,,,curated,NDA
51,Constituency #51,Tirunelveli,Tamil Nadu,SOUTH,GEN,SPA Nominee,DMK,SPA,True,12th Pass,,,,Γé╣36.3 Cr,,2,89.10561569511577,,False,False,,,,,,,,curated,SPA
51,Constituency #51,Tirunelveli,Tamil Nadu,SOUTH,GEN,NDA Nominee,PMK,NDA,False,12th Pass,,,,Γé╣21.8 Cr,,2,86.14491177074432,,False,False,,,,,,,,curated,SPA
51,Constituency #51,Tirunelveli,Tamil Nadu,SOUTH,GEN,TVK Nominee,TVK,TVK,False,12th Pass,,,,Γé╣32.6 Cr,,0,90.88546061899214,,False,False,,,,,,,,curated,SPA
51,Constituency #51,Tirunelveli,Tamil Nadu,SOUTH,GEN,NTK Nominee,NTK,NTK,False,12th Pass,,,,Γé╣28.8 Cr,,1,89.74812927188077,,False,False,,,,,,,,curated,SPA
52,Constituency #52,Dindigul,Tamil Nadu,SOUTH,GEN,SPA Nominee,DMK,SPA,True,12th Pass,,,,Γé╣45.1 Cr,,0,94.76646065815073,,False,False,,,,,,,,curated,SPA
52,Constituency #52,Dindigul,Tamil Nadu,SOUTH,GEN,NDA Nominee,AIADMK,NDA,False,Doctorate,,,,Γé╣50.6 Cr,,1,90.04203579231076,,False,False,,,,,,,,curated,SPA
52,Constituency #52,Dindigul,Tamil Nadu,SOUTH,GEN,TVK Nominee,TVK,TVK,False,12th Pass,,,,Γé╣49.2 Cr,,0,91.7877834432992,,False,False,,,,,,,,curated,SPA
52,Constituency #52,Dindigul,Tamil Nadu,SOUTH,GEN,NTK Nominee,NTK,NTK,False,12th Pass,,,,Γé╣35.7 Cr,,2,93.82924995486297,,False,False,,,,,,,,curated,SPA
53,Constituency #53,Sivaganga,Tamil Nadu,SOUTH,GEN,SPA Nominee,DMK,SPA,True,12th Pass,,,,Γé╣46.3 Cr,,2,89.46796582844073,,False,False,,,,,,,,curated,SPA
53,Constituency #53,Sivaganga,Tamil Nadu,SOUTH,GEN,NDA Nominee,AIADMK,NDA,False,Doctorate,,,,Γé╣4.5 Cr,,1,93.77615517507797,,False,False,,,,,,,,curated,SPA
53,Constituency #53,Sivaganga,Tamil Nadu,SOUTH,GEN,TVK Nominee,TVK,TVK,False,12th Pass,,,,Γé╣45.1 Cr,,0,87.47124552061518,,False,False,,,,,,,,curated,SPA
53,Constituency #53,Sivaganga,Tamil Nadu,SOUTH,GEN,NTK Nominee,NTK,NTK,False,12th Pass,,,,Γé╣46.9 Cr,,0,88.3372659939397,,False,False,,,,,,,,curated,SPA
54,Constituency #54,Karur,Tamil Nadu,CENTRAL,GEN,SPA Nominee,DMK,SPA,True,12th Pass,,,,Γé╣35.8 Cr,,1,85.57582957438724,,False,False,,,,,,,,curated,SPA
54,Constituency #54,Karur,Tamil Nadu,CENTRAL,GEN,NDA Nominee,BJP,NDA,False,12th Pass,,,,Γé╣46.0 Cr,,0,92.49893366493698,,False,False,,,,,,,,curated,SPA
54,Constituency #54,Karur,Tamil Nadu,CENTRAL,GEN,TVK Nominee,TVK,TVK,False,12th Pass,,,,Γé╣42.8 Cr,,2,86.0788613197073,,False,False,,,,,,,,curated,SPA
54,Constituency #54,Karur,Tamil Nadu,CENTRAL,GEN,NTK Nominee,NTK,NTK,False,12th Pass,,,,Γé╣34.0 Cr,,2,89.2879904162343,,False,False,,,,,,,,curated,SPA
55,Constituency #55,Madurai,Tamil Nadu,SOUTH,GEN,SPA Nominee,DMK,SPA,False,12th Pass,,,,Γé╣36.2 Cr,,0,86.84957337175132,,False,False,,,,,,,,curated,NDA
55,Constituency #55,Madurai,Tamil Nadu,SOUTH,GEN,NDA Nominee,PMK,NDA,True,12th Pass,,,,Γé╣12.2 Cr,,2,91.21200953523953,,False,False,,,,,,,,curated,NDA
55,Constituency #55,Madurai,Tamil Nadu,SOUTH,GEN,TVK Nominee,TVK,TVK,False,12th Pass,,,,Γé╣49.2 Cr,,1,92.91826913802569,,False,False,,,,,,,,curated,NDA
55,Constituency #55,Madurai,Tamil Nadu,SOUTH,GEN,NTK Nominee,NTK,NTK,False,12th Pass,,,,Γé╣36.6 Cr,,0,92.19917789956821,,False,False,,,,,,,,curated,NDA
56,Constituency #56,Mayiladuthurai,Tamil Nadu,CENTRAL,GEN,SPA Nominee,DMK,SPA,True,12th Pass,,,,Γé╣48.3 Cr,,2,89.25444400100282,,False,False,,,,,,,,curated,SPA
56,Constituency #56,Mayiladuthurai,Tamil Nadu,CENTRAL,GEN,NDA Nominee,AIADMK,NDA,False,Doctorate,,,,Γé╣32.8 Cr,,0,91.53120529570973,,False,False,,,,,,,,curated,SPA
56,Constituency #56,Mayiladuthurai,Tamil Nadu,CENTRAL,GEN,TVK Nominee,TVK,TVK,False,12th Pass,,,,Γé╣44.4 Cr,,2,87.88976012033172,,False,False,,,,,,,,curated,SPA
56,Constituency #56,Mayiladuthurai,Tamil Nadu,CENTRAL,GEN,NTK Nominee,NTK,NTK,False,12th Pass,,,,Γé╣44.2 Cr,,0,93.98936760011728,,False,False,,,,,,,,curated,SPA
57,Constituency #57,The Nilgiris,Tamil Nadu,WEST,GEN,SPA Nominee,DMK,SPA,True,12th Pass,,,,Γé╣37.5 Cr,,1,90.77998596083171,,False,False,,,,,,,,curated,SPA
57,Constituency #57,The Nilgiris,Tamil Nadu,WEST,GEN,NDA Nominee,AIADMK,NDA,False,Doctorate,,,,Γé╣42.3 Cr,,1,86.34305049393713,,False,False,,,,,,,,curated,SPA
57,Constituency #57,The Nilgiris,Tamil Nadu,WEST,GEN,TVK Nominee,TVK,TVK,False,12th Pass,,,,Γé╣30.8 Cr,,0,86.81144172903574,,False,False,,,,,,,,curated,SPA
57,Constituency #57,The Nilgiris,Tamil Nadu,WEST,GEN,NTK Nominee,NTK,NTK,False,12th Pass,,,,Γé╣16.4 Cr,,2,93.52348499666013,,False,False,,,,,,,,curated,SPA
58,Constituency #58,Thanjavur,Tamil Nadu,CENTRAL,GEN,SPA Nominee,INC,SPA,False,12th Pass,,,,Γé╣6.6 Cr,,2,86.63462700369801,,False,False,,,,,,,,curated,NDA
58,Constituency #58,Thanjavur,Tamil Nadu,CENTRAL,GEN,NDA Nominee,BJP,NDA,True,12th Pass,,,,Γé╣1.7 Cr,,1,89.57928071009968,,False,False,,,,,,,,curated,NDA
58,Constituency #58,Thanjavur,Tamil Nadu,CENTRAL,GEN,TVK Nominee,TVK,TVK,False,12th Pass,,,,Γé╣34.3 Cr,,1,91.096187416559,,False,False,,,,,,,,curated,NDA
58,Constituency #58,Thanjavur,Tamil Nadu,CENTRAL,GEN,NTK Nominee,NTK,NTK,False,12th Pass,,,,Γé╣40.3 Cr,,0,93.16126858346564,,False,False,,,,,,,,curated,NDA
59,Constituency #59,Namakkal,Tamil Nadu,WEST,GEN,SPA Nominee,INC,SPA,True,12th Pass,,,,Γé╣29.1 Cr,,0,93.0355942793721,,False,False,,,,,,,,curated,SPA
59,Constituency #59,Namakkal,Tamil Nadu,WEST,GEN,NDA Nominee,PMK,NDA,False,12th Pass,,,,Γé╣21.1 Cr,,0,86.39918848251544,,False,False,,,,,,,,curated,SPA
59,Constituency #59,Namakkal,Tamil Nadu,WEST,GEN,TVK Nominee,TVK,TVK,False,12th Pass,,,,Γé╣11.6 Cr,,2,89.22348324170224,,False,False,,,,,,,,curated,SPA
59,Constituency #59,Namakkal,Tamil Nadu,WEST,GEN,NTK Nominee,NTK,NTK,False,12th Pass,,,,Γé╣6.6 Cr,,0,91.52852967332255,,False,False,,,,,,,,curated,SPA
60,Constituency #60,Tiruvannamalai,Tamil Nadu,NORTH,GEN,SPA Nominee,INC,SPA,True,12th Pass,,,,Γé╣34.5 Cr,,1,88.53349288382745,,False,False,,,,,,,,curated,SPA
60,Constituency #60,Tiruvannamalai,Tamil Nadu,NORTH,GEN,NDA Nominee,AIADMK,NDA,False,Doctorate,,,,Γé╣22.9 Cr,,1,90.08571330932432,,False,False,,,,,,,,curated,SPA
60,Constituency #60,Tiruvannamalai,Tamil Nadu,NORTH,GEN,TVK Nominee,TVK,TVK,False,12th Pass,,,,Γé╣50.0 Cr,,2,88.60551646562791,,False,False,,,,,,,,curated,SPA
60,Constituency #60,Tiruvannamalai,Tamil Nadu,NORTH,GEN,NTK Nominee,NTK,NTK,False,12th Pass,,,,Γé╣25.9 Cr,,1,88.98595604759187,,False,False,,,,,,,,curated,SPA
61,Constituency #61,Erode,Tamil Nadu,WEST,GEN,SPA Nominee,VCK,SPA,False,12th Pass,,,,Γé╣24.1 Cr,,0,87.300173415717,,False,False,,,,,,,,curated,NDA
61,Constituency #61,Erode,Tamil Nadu,WEST,GEN,NDA Nominee,AIADMK,NDA,True,Doctorate,,,,Γé╣17.1 Cr,,0,87.44752665436302,,False,False,,,,,,,,curated,NDA
61,Constituency #61,Erode,Tamil Nadu,WEST,GEN,TVK Nominee,TVK,TVK,False,12th Pass,,,,Γé╣11.4 Cr,,2,91.33192215136422,,False,False,,,,,,,,curated,NDA
61,Constituency #61,Erode,Tamil Nadu,WEST,GEN,NTK Nominee,NTK,NTK,False,12th Pass,,,,Γé╣42.9 Cr,,1,85.1769784848189,,False,False,,,,,,,,curated,NDA
62,Constituency #62,Tirupattur,Tamil Nadu,NORTH,GEN,SPA Nominee,VCK,SPA,True,12th Pass,,,,Γé╣29.8 Cr,,2,93.10820809350294,,False,False,,,,,,,,curated,SPA
62,Constituency #62,Tirupattur,Tamil Nadu,NORTH,GEN,NDA Nominee,BJP,NDA,False,12th Pass,,,,Γé╣48.5 Cr,,1,89.44554923958424,,False,False,,,,,,,,curated,SPA
62,Constituency #62,Tirupattur,Tamil Nadu,NORTH,GEN,TVK Nominee,TVK,TVK,False,12th Pass,,,,Γé╣44.0 Cr,,1,86.07045820626342,,False,False,,,,,,,,curated,SPA
62,Constituency #62,Tirupattur,Tamil Nadu,NORTH,GEN,NTK Nominee,NTK,NTK,False,12th Pass,,,,Γé╣24.6 Cr,,2,92.74793782492083,,False,False,,,,,,,,curated,SPA
63,Constituency #63,Kallakurichi,Tamil Nadu,NORTH,GEN,SPA Nominee,DMK,SPA,False,12th Pass,,,,Γé╣35.1 Cr,,1,93.21131720884647,,False,False,,,,,,,,curated,NDA
63,Constituency #63,Kallakurichi,Tamil Nadu,NORTH,GEN,NDA Nominee,PMK,NDA,True,12th Pass,,,,Γé╣4.3 Cr,,2,86.1994908176327,,False,False,,,,,,,,curated,NDA
63,Constituency #63,Kallakurichi,Tamil Nadu,NORTH,GEN,TVK Nominee,TVK,TVK,False,12th Pass,,,,Γé╣27.9 Cr,,2,85.24819641938451,,False,False,,,,,,,,curated,NDA
63,Constituency #63,Kallakurichi,Tamil Nadu,NORTH,GEN,NTK Nominee,NTK,NTK,False,12th Pass,,,,Γé╣7.8 Cr,,0,93.30041153648187,,False,False,,,,,,,,curated,NDA
64,Constituency #64,Chengalpattu,Tamil Nadu,NORTH,GEN,SPA Nominee,DMK,SPA,True,12th Pass,,,,Γé╣15.1 Cr,,1,92.40365574392521,,False,False,,,,,,,,curated,SPA
64,Constituency #64,Chengalpattu,Tamil Nadu,NORTH,GEN,NDA Nominee,AIADMK,NDA,False,Doctorate,,,,Γé╣42.2 Cr,,0,94.17840970382503,,False,False,,,,,,,,curated,SPA
64,Constituency #64,Chengalpattu,Tamil Nadu,NORTH,GEN,TVK Nominee,TVK,TVK,False,12th Pass,,,,Γé╣6.5 Cr,,2,87.90821504865413,,False,False,,,,,,,,curated,SPA
64,Constituency #64,Chengalpattu,Tamil Nadu,NORTH,GEN,NTK Nominee,NTK,NTK,False,12th Pass,,,,Γé╣10.8 Cr,,0,92.66503547310596,,False,False,,,,,,,,curated,SPA
65,Constituency #65,Thoothukudi,Tamil Nadu,SOUTH,GEN,SPA Nominee,DMK,SPA,True,12th Pass,,,,Γé╣28.8 Cr,,1,89.68283947781376,,False,False,,,,,,,,curated,SPA
65,Constituency #65,Thoothukudi,Tamil Nadu,SOUTH,GEN,NDA Nominee,AIADMK,NDA,False,Doctorate,,,,Γé╣44.8 Cr,,0,88.09100213271329,,False,False,,,,,,,,curated,SPA
65,Constituency #65,Thoothukudi,Tamil Nadu,SOUTH,GEN,TVK Nominee,TVK,TVK,False,12th Pass,,,,Γé╣39.1 Cr,,0,93.55713374044463,,False,False,,,,,,,,curated,SPA
65,Constituency #65,Thoothukudi,Tamil Nadu,SOUTH,GEN,NTK Nominee,NTK,NTK,False,12th Pass,,,,Γé╣27.7 Cr,,2,85.68961670559034,,False,False,,,,,,,,curated,SPA
66,Constituency #66,Chennai,Tamil Nadu,CHENNAI,GEN,SPA Nominee,DMK,SPA,False,12th Pass,,,,Γé╣13.1 Cr,,0,89.84167015404812,,False,False,,,,,,,,curated,NDA
66,Constituency #66,Chennai,Tamil Nadu,CHENNAI,GEN,NDA Nominee,BJP,NDA,True,12th Pass,,,,Γé╣5.0 Cr,,0,94.00789007379355,,False,False,,,,,,,,curated,NDA
66,Constituency #66,Chennai,Tamil Nadu,CHENNAI,GEN,TVK Nominee,TVK,TVK,False,12th Pass,,,,Γé╣5.0 Cr,,0,87.51251979386981,,False,False,,,,,,,,curated,NDA
